ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt6c;ko_KArt7;ko_KArt8
PA02C;24;0,00;0,01;0,00;0,00;0,65;0,00;0,00;0,00;0,00;0,01;0,01;0,06;0,03;0,25
PA02C;25;0,01;0,47;0,01;0,08;2,83;0,06;0,01;0,00;0,00;0,10;0,00;0,09;0,17;1,27
PA02C;26;0,03;0,03;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA02C;8;0,03;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,02
PA02C;9;0,25;0,00;0,00;0,00;0,00;0,30;0,01;0,00;0,00;0,05;0,00;0,37;0,11;0,20
PA02C;10;0,17;0,00;0,00;0,00;0,00;0,99;0,03;0,00;0,00;1,02;0,04;1,48;0,15;0,41
PA02C;11;0,41;0,16;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,05;0,00;0,15;0,10;0,27
PA02C;12;0,08;0,02;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,06
PA02C;13;0,72;0,90;0,00;0,00;0,00;0,31;0,01;0,00;0,00;0,05;0,00;0,00;0,08;0,43
PA02D;21;20,18;57,09;2,95;3,82;2,09;0,91;1,19;0,04;0,00;1,04;0,02;0,14;9,94;43,15
PA02D;22;11,87;32,72;1,58;2,05;0,91;0,43;0,61;0,02;0,00;0,58;0,01;0,06;5,04;22,08
PA02D;23;5,59;8,50;1,25;1,32;0,29;0,00;0,11;0,01;0,00;0,14;0,00;0,01;0,00;0,02
PA02D;24;0,00;0,01;0,00;0,00;0,43;0,00;0,00;0,00;0,00;0,01;0,00;0,03;0,04;0,18
PA02D;25;0,02;0,33;0,02;0,04;2,34;0,09;0,01;0,00;0,00;0,08;0,00;0,03;0,17;0,95
PA02D;26;0,04;0,03;0,00;0,01;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01
PA02D;8;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,02
PA02D;9;0,26;0,00;0,00;0,00;0,00;0,26;0,00;0,00;0,00;0,05;0,00;0,42;0,11;0,17
