IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
05 ;F62A;1597;0;0;0;0;1;0,5498;0,4502;0;0;0;0;0;0;0;0;0,0019;0,0025;0,0113;0,01;0,0225;0,0463;0,1885;0,1847;0,5322;0,1087;0,7852;0,1062;5;32;16,7;2,137;0,0006;7,3;6000,34;3020,99
05 ;F62B;48801;0,2659;0,1989;0,2432;0,2572;0,0348;0,4547;0,5453;0;0;0,0001;0;0;0;0,0001;0,0001;0,0011;0,0023;0,0096;0,0138;0,0245;0,0404;0,1876;0,1881;0,5322;0,0962;0,8338;0,07;2;18;8,6;0,879;0,0186;4;2467,49;1072,35
05 ;F63A;209;0;0;0;0;1;0,4115;0,5885;0;0;0;0;0;0,0048;0;0;0,0096;0,0048;0,0335;0,0383;0,0431;0,0335;0,1483;0,1579;0,5263;0,0694;0,8531;0,0776;3;23;11,4;1,356;0,0001;5,1;3807,39;1632,88
05 ;F63B;5727;0,554;0,2046;0,1243;0,117;0;0,4514;0,5486;0;0;0;0;0;0,0003;0,0037;0,0045;0,0416;0,0496;0,0915;0,0657;0,0719;0,0786;0,2003;0,1306;0,2617;0,108;0,8203;0,0718;1;12;5,6;0,613;0,0022;2,8;1721,78;737,84
05 ;F64Z;1022;0,2632;0,184;0,2202;0,2622;0,0705;0,4364;0,5636;0;0;0;0;0;0;0;0;0,0078;0,0127;0,0391;0,0597;0,0656;0,0714;0,2358;0,18;0,3278;0,0611;0,8676;0,0713;2;18;9,1;0,9;0,0004;4;2528,06;1062,28
05 ;F65A;513;0;0;0;0;1;0,5419;0,4581;0;0;0;0;0;0;0;0;0,0039;0,0117;0,037;0,0214;0,0448;0,0604;0,2378;0,2066;0,3762;0,131;0,7904;0,0786;4;27;13,6;1,675;0,0002;6,1;4703,73;2283,74
05 ;F65B;7762;0,3977;0,2184;0,1793;0,1939;0,0107;0,5656;0,4344;0;0;0,0009;0,0008;0,0003;0,0006;0,0043;0,0013;0,0075;0,012;0,0446;0,0434;0,068;0,0813;0,2488;0,1708;0,3155;0,2444;0,6981;0,0575;1;15;6,2;0,743;0,003;3,7;2086,95;1093,05
05 ;F66A;686;0;0;0;0;1;0,7595;0,2405;0;0;0;0;0;0;0;0;0;0,0044;0,0306;0,0423;0,0904;0,1079;0,363;0,2157;0,1458;0,0494;0,8684;0,0823;3;23;13,3;1,602;0,0003;4,3;4500,05;1662,82
05 ;F66B;1694;0,4516;0,2249;0,1594;0,1641;0;0,7043;0,2957;0;0;0;0;0;0,0012;0,0012;0;0,0041;0,0071;0,0514;0,0614;0,0785;0,1281;0,3176;0,1777;0,1718;0,2999;0,6233;0,0769;1;12;5,3;0,56;0,0006;2,9;1573,46;757,81
05 ;F67A;338;0;0;0;0;1;0,3254;0,6746;0;0;0,003;0;0;0;0,003;0;0,0059;0;0,0325;0,0355;0,0385;0,0385;0,1805;0,1953;0,4675;0,0971;0,8204;0,0825;3;23;11;1,248;0,0001;5,6;3504,35;1707,27
