IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
15 ;P65B;2683;0,5501;0,0004;0,0067;0,4092;0,0328;0,0007;0,00;0,4976;0,5024;0,00;0,9821;0,0179;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0299;0,9117;0,0584;7;41;23,00;5,028;0,0002;7,50
15 ;P65C;4247;0,9553;0,00;0,0141;0,029;0,0016;0,00;0,00;0,4387;0,5613;0,00;0,9889;0,0111;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0237;0,9157;0,0606;5;32;17,60;3,535;0,0003;6,00
15 ;P65D;738;0,9919;0,00;0,0027;0,0054;0,00;0,00;0,00;0,3808;0,6192;0,00;0,9648;0,0352;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0592;0,8744;0,0664;3;22;10,50;1,869;0,0001;4,90
15 ;P66A;1738;0,2163;0,00;0,004;0,443;0,2428;0,0892;0,0046;0,5731;0,4269;0,00;0,9741;0,0259;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,047;0,86;0,093;5;31;15,90;4,105;0,0001;5,90
15 ;P66B;3475;0,5209;0,00;0,0155;0,4245;0,0391;0,00;0,00;0,5517;0,4483;0,00;0,9753;0,0247;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0693;0,8758;0,0549;4;28;13,50;2,917;0,0003;5,70
15 ;P66C;10640;0,9635;0,00;0,0193;0,0165;0,0007;0,00;0,00;0,4807;0,5193;0,00;0,9898;0,0102;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,044;0,8858;0,0702;2;21;10,00;1,837;0,0008;4,60
15 ;P66D;12747;0,998;0,00;0,0016;0,0004;0,00;0,00;0,00;0,3798;0,6202;0,00;0,9889;0,0111;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0274;0,8864;0,0862;1;8;3,90;0,341;0,0009;1,30
15 ;P67A;6866;0,1856;0,00;0,007;0,4219;0,2926;0,0904;0,0025;0,6142;0,3858;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0168;0,9002;0,083;2;20;8,50;2,149;0,0005;3,70
15 ;P67B;19759;0,3379;0,0002;0,019;0,6003;0,0425;0,0002;0,00;0,5912;0,4086;0,0002;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0222;0,9012;0,0766;1;13;5,70;1,156;0,0014;2,40
15 ;P67C;49910;0,9326;0,00;0,0338;0,0324;0,0012;0,00;0,00;0,5784;0,4216;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0007;0,9396;0,0597;1;10;4,50;0,68;0,0036;1,90
15 ;P67D;9789;0,9978;0,00;0,0019;0,0003;0,00;0,00;0,00;0,5205;0,4794;0,0001;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0366;0,9196;0,0438;1;8;4,10;0,367;0,0007;1,20
15 ;P67E;554210;0,9987;0,00;0,0011;0,0003;0,00;0,00;0,00;0,5075;0,4924;0,0001;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0724;0,909;0,0186;1;6;3,00;0,252;0,0404;0,90
