IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
07 ;H78Z;190;0,00;0,00;0,00;0,0263;0,6737;0,30;0,00;0,6421;0,3579;0,00;0,00;0,00;0,00;0,00;0,0053;0,00;0,00;0,0263;0,0421;0,0947;0,1421;0,1632;0,1158;0,2474;0,1105;0,0526;0,2429;0,5994;0,1577;5;36;18,80;4,76;0,0001;8,20;14013,29;6474,93
08 ;I01Z;389;0,0951;0,0874;0,1003;0,2879;0,2725;0,1517;0,0051;0,4884;0,5116;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0077;0,0231;0,0463;0,0566;0,072;0,3188;0,1928;0,2828;0,0061;0,7923;0,2016;10;50;31,70;6,095;0,0001;10,30;17922,92;6053,46
08 ;I02A;74;0,00;0,00;0,00;0,00;0,4189;0,4189;0,1622;0,4595;0,5405;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0405;0,1081;0,0946;0,0676;0,1081;0,0541;0,1757;0,1486;0,2027;0,0385;0,5692;0,3923;16;69;50,60;11,675;0,00;16,30;34264,27;12484,37
08 ;I02B;402;0,00;0,00;0,00;0,0796;0,50;0,3408;0,0796;0,5846;0,4154;0,00;0,00;0,00;0,00;0,0025;0,00;0,0025;0,0075;0,0423;0,0597;0,1144;0,097;0,1095;0,0871;0,2189;0,1294;0,1294;0,0387;0,6768;0,2845;13;60;41,60;9,12;0,0002;13,30;26707,22;10294,79
08 ;I02C;294;0,00;0,00;0,00;0,1973;0,5204;0,2585;0,0238;0,5136;0,4864;0,00;0,00;0,00;0,00;0,00;0,00;0,0034;0,0068;0,0374;0,0306;0,0952;0,068;0,068;0,102;0,2211;0,1259;0,2415;0,0447;0,7737;0,1816;9;48;29,90;5,367;0,0001;10,20;15704,80;6067,87
08 ;I02D;462;0,00;0,00;0,00;0,0022;0,6667;0,2922;0,039;0,5303;0,4697;0,00;0,00;0,0022;0,00;0,0022;0,00;0,0065;0,0022;0,0152;0,0281;0,0519;0,0758;0,0909;0,1082;0,1905;0,1515;0,2749;0,056;0,7844;0,1596;8;45;26,90;4,271;0,0002;10,10;12484,69;5543,97
08 ;I03A;256;0,0352;0,0156;0,0508;0,0469;0,6523;0,1875;0,0117;0,3906;0,6094;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0039;0,0078;0,0234;0,0273;0,0391;0,0977;0,1953;0,1992;0,4063;0,0428;0,7829;0,1743;8;45;27,30;5,649;0,0001;10,10;16600,34;6211,24
08 ;I03B;862;0,2668;0,1624;0,2726;0,2981;0,00;0,00;0,00;0,4733;0,5267;0,00;0,00;0,00;0,00;0,00;0,00;0,0046;0,00;0,0046;0,0104;0,0336;0,0499;0,0731;0,1044;0,3086;0,2274;0,1833;0,0063;0,9122;0,0815;5;34;18,60;3,744;0,0003;7,10;11030,90;3389,93
08 ;I04Z;793;0,4603;0,232;0,1854;0,1173;0,005;0,00;0,00;0,4805;0,5195;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0025;0,0063;0,0315;0,0794;0,0946;0,1324;0,3291;0,1955;0,1286;0,0034;0,895;0,1016;4;28;16,10;3,503;0,0003;5,70;10356,10;3193,99
08 ;I05A;517;0,00;0,00;0,00;0,00;0,8897;0,1103;0,00;0,4139;0,5861;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0019;0,00;0,0097;0,0135;0,0174;0,0193;0,1335;0,1489;0,6557;0,1049;0,7978;0,0972;5;31;16,80;3,251;0,0002;6,50;9548,39;2299,36
