IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
05 ;F75A;4390;0,00;0,00;0,00;0,00;1,00;0,541;0,459;0,00;0,00;0,0043;0,0025;0,0027;0,0018;0,0027;0,0011;0,0185;0,0248;0,064;0,0547;0,0736;0,0909;0,2485;0,1738;0,236;0,1402;0,778;0,0819;3;27;12,50;1,844;0,0003;5,90
05 ;F75B;373;0,3003;0,2118;0,1823;0,3056;0,00;0,5845;0,4155;0,00;0,00;0,2627;0,2279;0,2681;0,2413;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,326;0,6333;0,0407;1;17;5,50;1,26;0,00;3,60
05 ;F75C;644;0,6693;0,1444;0,1196;0,0668;0,00;0,7019;0,2981;0,00;0,00;0,00;0,00;0,00;0,00;0,455;0,545;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2666;0,6895;0,0439;1;12;4,70;0,989;0,00;2,60
05 ;F75D;30670;0,4157;0,1935;0,1874;0,2033;0,00;0,5699;0,4301;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0936;0,0701;0,1025;0,0779;0,0836;0,0902;0,2115;0,1323;0,1382;0,1963;0,7347;0,069;1;13;5,10;0,763;0,0023;2,70
05 ;F77Z;3670;0,0027;0,0033;0,0823;0,4583;0,4534;0,4834;0,5166;0,00;0,00;0,0022;0,0003;0,00;0,0003;0,0005;0,0005;0,0019;0,0005;0,0117;0,0125;0,024;0,0431;0,1913;0,1989;0,5123;0,00;0,917;0,083;;25;12,90;1,436;0,0003;4,40
05 ;F95A;3551;0,3802;0,1014;0,1476;0,2197;0,1512;0,5959;0,4038;0,0003;0,00;0,0028;0,0121;0,0546;0,0332;0,0237;0,0065;0,0031;0,0008;0,0056;0,0115;0,0211;0,0515;0,2884;0,2458;0,2391;0,0593;0,777;0,1637;1;9;3,70;2,899;0,0003;1,60
05 ;F95B;1640;0,7372;0,086;0,0726;0,0829;0,0213;0,511;0,489;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,078;0,128;0,2366;0,1555;0,1098;0,0817;0,139;0,0543;0,0171;0,2781;0,6498;0,0721;1;6;2,70;2,228;0,0001;0,90
05 ;F96Z;38;0,50;0,00;0,0526;0,2895;0,1579;0,9737;0,0263;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1316;0,2105;0,2105;0,1053;0,1579;0,1053;0,0789;0,00;1,00;0,00;;;3,30;;0,00;2,90
05 ;F98A;2699;0,06;0,0259;0,0734;0,1753;0,6654;0,5491;0,4509;0,00;0,00;0,00;0,00;0,0007;0,0022;0,0078;0,0004;0,0033;0,0004;0,0033;0,0011;0,0041;0,0148;0,1356;0,2605;0,5658;0,0377;0,90;0,0624;5;33;15,60;11,598;0,0002;5,90
05 ;F98B;8926;0,1214;0,0394;0,0886;0,2145;0,536;0,4527;0,5473;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0004;0,0029;0,0008;0,0004;0,0017;0,0046;0,01;0,0986;0,2429;0,6377;0,0281;0,8931;0,0787;4;28;13,50;10,384;0,0007;5,20
